언어표현,분류,유형,품사,의미,예문,비고
빌어쳐먹다,욕설,감탄,동사,빌어먹다'의 힘줌말.,"""빌어처먹을 년….."" 됨말댁은 며느리 푸념이 절로 나옴을 참지 못해 하며 걷고 있었다. <이문구, 그때는 옛날, 1971>/ 나이 서른이나 처먹은 새끼가 맨날 지 에미, 에비 밑에서 밥이나 빌어쳐먹구. 저 물건을 엇다 써먹어 그래? <박영한, 왕룽 일가, 1987>/ 참) 빌어처먹다 뒈져서 부자 되다. ",
빕빌이,비어,태도,동사,(홀하게) 하찮은 사람/(홀하게)일이 제대로 잘 되지 않는 것.,"내가 그때 만약 요새마냥 벌이가 시원찮은 빌빌이였더라면 진작 고무신을 거꾸로 신고 돌아섰을 여자다.<박영한, 우묵배미의 사랑, 1989>/ ""~친구네 가겐 잘되구?"" ""잘되긴요. 그냥 빌빌이죠. 뭐."" ""그래애? 그럼 됐어. 당장 보따리 싸서 오라구~""<박영한, 우묵배미의 사랑, 1989>",
빙신,욕설,장애,명사,병신'의 큰 말.,"""화장품 월부 끌어다 돈 죄 잘라 처먹구 낯짝에 딜비따 처바르기만 할 줄 알았지, 네깟 게 목욕은 무슨 목욕!"" 빙신아. 하루에 열두 번도 더 씻는다. 궁금하모 고개 속이고 딜다보라꼬 자아 자!"" <박영한, 은실네 발마났네, 1989> 참) 빙신 늘고자 같다. ",
빙신새끼,욕설,장애,동사,병신새끼'의 큰말.,"""너 또 거시기가 목구멍으로 올라온 모양이구나. 빙신새끼."" 형은 방으로 들어가면서 밥 줘, 하고 소리쳤다. 목구멍으로까지 회충이 올라와서 그때마다 까무러치곤 하던 나를 두고 한 말이었다. <한수산, 사월의 끝, 1978>",
빙신육갑하다,욕설,행동,감탄사,병신육갑하다'의 큰말. ,,
빙충맞다,욕설,묘사,동사,(욕으로) 똘똘하지 못하고 어리석다.,"""나이가 적으냐? 장정이… 기막힌다, 빙충맞은 것… 저리 가거라"" 하는 소리를 들었다. 나는 사실을 고백하면 이 '빙충맞은 것!'이라는 말이 무엇보다도 듣기 싫었다. <김기진, 젊은 이상주의자의 사, 1925>/ 경자는 발을 딱 멈추고 업신여기는 눈초리로 영애를 쏘아본다. 빙충맞은 이년하고는 같이 다니지 않아도 좋다고 생각한 때문이었다. <김유정, 야앵, 1938>",
빙충이,비어,지력,명사,(홀하게) 빙충맞은 사람,"가자, 요 빙충이 새끼야. 인자 니넌 평생을 애비 웂이 살아야 헐 팔자여. 긍께 넘덜보담 독허고 싸납고 야물딱져야 혀. 그래야 이 에미가 니럴 믿고 살제. 진도개맹키로 독허고 싸나와질나 말이여. 알아묵겄어?  <조정래, 태백산맥3, 1986>",
빚꾸러기,비어,언행,명사,(홀하게) 빚을 많이 진 사람.,,
빚쟁이,비어,언행,명사,(얕잡아) 채권자.,,
빠가,욕설,지력,동사,빠가야로'가 준 말.,"그 일본 사람은 손으로 지게꾼의 어깨를 훔쳐 때리며, ""요보 빠가, 나쁜 사람이… 조리 가는데, 와 이이리…"" 하고 살기 띤 눈으로 지게꾼을 노려본다. <조명희, 땅 속으로 1925>/ ""빠가(까)!"" 긴상은 고함을 치며 칠성의 따귀를 번개같이 때려 갈겼다. 그와 동시에, ""이 간나새끼, 어디 보자!"" 하기가 무섭게 칠성이도 긴상 멱살을 추켜 잡았다. <정비석, 성황당, 1937> ",
빠가야로,욕설,지력,형용사,(욕으로) 바보. 준) 빠가.,"…..모시모시 하이하이… 무슨 개소리를 지껄이는지 알 수가 있나…. 욕이나 해 줄까. 야야, 빠(바)가야로. 고노야로. 신데 시마에… 야 이년아, 얻다 대고 지랄야, 지랄은. <최일남, 춘자의 사계, 179>",
빠꼼,비어,지력,명사,(홀하게) 무엇을 잘 아는 약은 사람.,"그 애는 사람을 붙잡고는 손에 쥔 종이를 펴 보이며 물어 보며 다니고 있었다. ""빠꼼은 분명 아니야."" <황석영, 어둠의 자식들, 1980> ",
빠돌이,비어,직업,명사,(홀하게) 술집에서 일하는 사람/ 호스트바에 다니는 남자. ,,
빠순이,비어,직업,명사,(홀하게) 술집에서 일하는 여자.,,
빡돌다,속어,행동,명사,(속되게) 화가 나다.,,
빡새끼,속어,지위,명사,빽새끼/,,
빤빤하다.,비어,묘사,명사,사람이나 말 따위가 몹시 염치없을 때 욕으로 하는 말. 큰) 뻔뻔하다.,"이 놈을 칼로 찔러 죽여 버릴까. 그리고 그 빤빤한 낯가죽을 벗기고, 그 빤빤한 소리를 한 주둥이를 찢어 버리고, 그 이기적이요 음욕이 꽉 찬 배때기를 찢어 버릴까. <이광수, 흙, 1932>",빈도 확인
빤지르르하다,비어,묘사,명사,(욕으로) 사람이 겉만 그럴듯하고 약아 빠지다. '=빤지르하다. 여) 반지르르하다. 큰) 뻔지르르하다.,,
빤지르하다,비어,묘사,명사,=빤지르르하다.,"아재비 못난 것 조카 장짐 지더라고 빤지르한 낯짝부터가 친척붙이 근르에서 강아지 노릇 하게 생겨 먹은 작자였다. <송기숙, 자랏골의 비가, 1974> ",
빤질이,비어,언행,동사,(홀하게) 말을 잘 안 듣는 사람. 작) 뺸질이.,,
빨갱이,비어,태도,명사,(비속하게) 공산주의자.,"""반동."" ""빨갱이."" ""개자식."" ""로스케 앞잡이."" ""양키 주구."" ""뭐?"" ""어째서?"" <선우휘, 깃발 없는 기수, 1959>/ ""구데기 무서워 장 못 담그겄다. 니놈이야 빨갱이가 되건 말건 중학교 졸업은 해야 사람 구실 한다."" ""빨갱이 되면 가막소로 끌려갈 낀데."" ""네놈이 끌려가도록까지 내가 살겄나. 진작 죽어서 그 꼴을 안 보지."" <김주영, 고기잡이는 갈대를 꺾지 않는다, 1988> 참) 말 많은 놈들은 다 빨갱이다. 빨갱이 같다. ",
빨래꾼,비어,직업,형용사,(홀하게) 세탁하는 사람.,"쑈리가 늘 찾아가는 곳은 이 졸때기 양키들이 있는 곳이다. 거기엔 밥데기, 빨래꾼, 이발장이 쩔뚝이랑 몇몇 한국 살마도 있지만, 쑈리는 그들보다 양키들하고 더 친했다. <송병수, 쑈리 킴, 1957>",
빽갈이,비어,직업,형용사,(홀하게) 가수 뒤에서 춤추는 사람. ,,
뺀대구리,비어,외모,형용사,(평북 지방에서) 대머리. ,,
뺀돌이,비어,언행,명사,(홀하게) 뺀질거리는 남자.,,
뺀드라지다,비어,묘사,명사,(욕으로) 뺀들거리며 약다.,"""서울 계집은 뺀드라져서 어디 제대로 맛이 나야조."" ""몸 파는 계집이야 매양 한가지지요. 자 그래 어떤 물건들을 원하시오?"" <홍성원, 주말여행, 1969>",
뺀질이,비어,언행,명사,빤질이'의 작은말.,,
뺑기쟁이,비어,직업,명사,(홀하게) 페인트 칠 하는 사람,뺑끼쟁이들은 목재는 락카로 칠한다.,
뺑뺑이꾼,비어,직업,명사,(낮추어) 둥그런 널판을 돌려 야바위 놀이를 하는 사람. '=뺑뺑이판장수.,"한중간쯤 지나서 그나마 있던 몇십 명 청중 가운데 동원된 사람들이 자기들 후보자가 연단을 내려올 때마다 차례로 줄줄이 빠지고 나니 반짝 대목을 보려고 모인 즉석 커피 장수나 번데기 장수 그리고 담배로 야바위놀이를 하는 뺑뺑이꾼들이 청중보다 더 많이 보였다. <김소진, 장석조네 살마들, 1995> ",
뺑뺑이놈,욕설,언행,명사,놀고 먹는 사람. ,"사내녀석이라면 사냥이나 해먹고 나머지 참은 낮잠이나 자는 뺑뻉이놈은 어떤 일이 있어도 아니 되느니라. <백기완 장산곶매 이야기1, 1993>",
뺑뻉이판장수,비어,직업,형용사,=뺑뺑이꾼.,"천변에는 떡장수와 밥장수와 꿀꿀이죽 장수들이 늘어앉아 있었다. 사이사이에는 과일장수도 있었고 어수룩한 사람 군침 돌게 박보장기판을 벌여 놓은 늙은이도 있었고 요행심을 노리는 살마의 푼돈을 긁어 내려는 뺑뺑이판장수도 있었다. <김용성, 도둑일기, 1983>",
뺑이치다,속어,행동,명사,=뺑뺑이치다,그 일 하느라 뺑이쳤다.,
뺑코,속어,외모/출신,명사,(속되게) 서양사람 / (속되게) 콧구멍이 큰 사람,,
뺑코촌,속어,구체물,명사,(속되게) 외국인이 사는 주택가,,빈도 확인
뺨따구니,속어,일반부위,명사,=뺨따귀,그따위 수작을 했다가는 뺨따귀 얻어 맞기 십상이죠,
뺨따귀,속어,일반부위,명사,(낮추어) 뺨'=뺨따구니. 뺨때기,그놈의 멱살을 잡아 뺨따귀를 사정없이 올려붙였다.,빈도 확인
뺨때기,속어,일반부위,동사,뺨따귀,,
뺨샤다기,속어,일반부위,명사,(낮추어) 뺨. '=뺌사대기,본색이 드러난 그놈의 뺨샤다기를 올려 붙이고 싶었지만 참았다.,빈도 확인
뺵시깨,속어,지위,명사,(속되게) 어린이. '=빽새끼. /(속되게) 자식. '=빡새끼. / 달걀. ,"쏠리고 몰리니까 빽새끼 보구 싶은 것두 잠시더군. 우선 해골 굴릴 데라두 찾아야 되니까. 할 수 없이 옛날 식구에게 찾아가 꼽사리 붙은 거야. <황석영, 어둠의 자식들, 1980>",빈도 확인
뻐드러지다,비어,행동,명사,(속되게) 죽다,,
뻐드렁이,속어,외모,명사,(홀하게) 뻐드렁니가 난 사람,,
뻔상,비어,태도,명사,(낮추어) 뻔뻔스러운 사람 ,저 자식은 어째 저리 뻔상일까.,빈도 확인
뻘때추니,욕설,언행,명사,(욕으로) 제멋대로 짤짤거리며 쏘다니는 사람,그 뻘때추니 건드렸다간 종내 옹기짐 놓고 말 게여.,
뼈숭이,속어,외모,동사,(홀하게) 뼈만 안상하게 남은 사람,,빈도 확인
뼉때,욕설,태도,명사,(욕으로) 변변치 못한 사람,"어중이 떠중이, 얼때, 뼉대, 쫄때가 다 판을 치고 있구나.",
뽁,속어,성적부위,명사,(속되게) 여자의 성기,,
뽈다구,속어,일반부위,명사,(속되게) 볼,,
뽕,속어,성적부위,명사,(속되게) 여자의 음부 ,,빈도 확인 
뽕짜,비어,추상물,명사,(낮잡아) 거짓말,,빈도 확인
뿌시레기,비어,지위,명사,(낮잡아) 하잘것없는 일가친척의 사람,우리 일가친척 뿌시레기들이 싹 다 똥구녕이 째지게 가난해서.. ,빈도 확인
뿔다구,속어,일반부위,명사,=뿔다귀,,빈도 확인
뿔다귀,속어,일반부위,명사,(속되게) 뿔 ,,
사내꼬부랑이,비어,지위,명사,(낮잡아) 남자 '=남자꼭지. 사내꼬불. 사내꼬투리. 사내꼭지. 사내꼽재기.,,빈도 확인
사내꼬불,비어,지위,명사,=사내꼬부랑이,,빈도 확인
사내꼬투리,비어,지위,명사,=사내꼬부랑이,,빈도 확인
사내꼭지,비어,지위,명사,=사내꼬부랑이,,
사내꼽재기,비어,지위,명사,=사내꼬부랑이,,
사내놈,욕설,지위,명사,(욕으로) 사내,,
사내새끼,욕설,지위,명사,(욕으로) 사내 '= 사내자식,,빈도 확인
사내자식,욕설,지위,명사,(욕으로) 사내새끼 / (욕으로) 아들,,빈도 확인
사냥개,맥락,,명사,(낮잡아) 형사/ (낮잡아) 남의 비밀을 몰래 캐내는 사람 / (낮잡아) 싸움을 잘하는 사람,,빈도 확인
사당년,욕설,직업,명사,(욕으로) 사당패의 여자,사당년의 새끼가 실성을 하였나.,빈도 확인
사람것,비어,지위,명사,(낮잡아) 사람,그이는 사람것이 아니여.,
사람년,욕설,지위,명사,(욕으로) 여자,,
사람백정놈,욕설,언행,명사,(욕으로) 사람을 못살게 하는 사람,,
사람질하다,비어,행동,명사,(낮추어) 사람 노릇을 하다.,그 자식 돈 벌수록 더러워지는 것이 사람질하기는 틀린 새끼여.,
사랑사람,비어,지위,명사,(낮추어) 사랑양반,,
사발젖,속어,성적부위,명사,(속되게) 사발처럼 약간 부푼 젖,신부의 젖이 허펍한 사발젖인가 옹골진 쇠뿔젖인가 한번 보려고 그러오.,
사색잡놈,욕설,언행,명사,(욕으로) 온갖 나쁜 짓만 골라하는 사람,,
사이코,욕설,지력,명사,(욕으로) 정상이 아닌 사람,,
사주쟁이,비어,직업,동사,(홀하게) 사주 보는 사람,,
사진쟁이,비어,직업,명사,(홀하게) 사진사,,빈도 확인
사타구니 ,속어,일반부위,명사,(속되게) 샅'=사추리,,
사팔뜨기,비어,장애,명사,(홀하게) 사팔눈을 한 사람,"몸짓도 갈팡질팡, 시선도 갈팡질팡, 눈동자가 두 개의 초점으로 분열돼 사팔뜨기처럼 불안해졌다.",
삭숭이,속어,일반부위/성적부위,명사,(속되게) 살/(속되게) 남자의 성기,여인이 엉덩이를 들었다 놓았다 하며 아궁이를 건드릴 때마다 삭숭이 안쪽으로 불땀 좋은 ㅈ아작이 이글이글 타고 있었다,
산골고라리,비어,출신,명사,(얕잡아) 어리석고 고집이 센 시골 사람,서울에서 내려온 일행은 덕보를 산골고라리라고 부르며 노골적으로 따돌렸다.,
산골뜨기,비어,출신,명사,(홀하게) 산골에서 나고 자란 사람,그렇게 어느 산골뜨기가 참깨 농사는 바로 때려치워도 될 거금을 벌어들인 하루가 저물었다.,
산골지앙텡이,비어,출신,명사,=산골뜨기,"길목을 지켜 기다렸던 우리들은 일제히 입을 모아 놀려 댄다. ""야 이 산골지앙텡이들아……'",
산귀신,맥락,,명사,(욕으로) 못마땅한 사람.,"그란께 암 말도 안 하고 앉았더니 기어이 그 찰거머리들, 어구, 그 산귀신…",
산수털벙거지,비어,직업,명사,(속되게) 조선 시대 군사나 나졸,강가의 결찌와 동류를 잡는다고 집뒤짐을 시작하여 산수털벙거지가 아래윗말에 흩어졌다,
살꽃,속어,일반부위/추상물,명사,"(속되게) 몸뚱이, 또는 여자의 정조",넌 본시 여상을 가장하고 살꽃이나 팔고 다니는 논다니가 아니었더냐?,
살살이,비어,언행,명사,(홀하게) 간사스럽고 알랑거리는 사람,“자네 같은 살살이니까 여전할 테지.” “그 말씀하시려고 소인을 부르셨는가요?”≪,
살송곳,속어,성적부위,명사,(속되게) 남자의 성기,"야 이놈아, 남의 고래등 같은 엉덩이에다 뜨물밖에 나올 게 없는 그 꼴같잖은 살송곳은 왜 자꾸 디밀어?",
살푼,비어,지위,명사,(속되게) 여자,"너는 새로 살푼을 물었으니 재미나 많이 보구, 뽁에다 고사를 지내서 오까네나 많이 쳐라",
살피죽,속어,일반부위,명사,(속되게) 살가죽,저 흰죽 사발같이 허옇게 자빠진 살피죽 좀 뒀다 보게.,
삼등석,맥락,,명사,(낮잡아) 형편없는 사람,"그래 얼마나 사람이, 어이구, 질서가, 사람이 가는 길이, 얼마나 그렇게 삼등석이냐?",
삼룡이,맥락,,명사,(홀하게) 좀 어리어리한 사람,그나저나 멀쩡한 사람 가지고 완전히 삼룡이 하나 만들고 마는 거 아냐?,
삼순이,맥락,,명사,(홀하게) 조금 모자라는 여자,,
삼시랑,비어,태도,명사,(속되게) 하찮은 사람 /(속되게) 쓸데없고 하찮은 것,"저런 삼시랑이 인곤 시상이 멋이고, 인민 재판이 먼지나 알고 여그 나왔는지 몰르것네",
삼십리강짜,비어,태도,명사,(속되게) 아주 심한 강짜,그야말로 삼십리강짤세. 누가 눈독을 들이는 게라고 내가 손가락인들 대겠나,
삼팔따라지,비어,출신,명사,(놀리어) 해방 직후 삼팔선 이북에서 넘어온 사람 / (노름판에서) 세 끗과 여덟 끗이 합해서 된 한 끗,더욱이 우리 집안은 삼팔따라지거든,
상것,욕설,출신,명사,(낮추어) 신분이 낮은 사람 / (욕으로) 막된 사람,그래 다아 굶어죽게 돼두 양반이 주와서 남을 상것이라 능멸히 예기는구먼.,
상녀러,욕설,지위/태도,명사,대상이 못마땅할 때 욕으로 하는 말,어뜬 상녀러 것이 죽었는가 장의차 뒤에 자가용이 백 대는 넘것더라,
상년,욕설,지위/태도,명사,(욕으로) 신분이 낮은 여자 / (욕으로) 본데없이 막된 여자,우리같은 상년은 생으로 회를 쳐서 먹어도 관계치 아니할 줄 안다던가,빈도 확인
상놈,욕설,지위/태도,명사,(욕으로) 신분이 낮은 남자 / (속되게) 본데없이 막된 남자,망할 자식! 상놈의 자식이!,
상놈새끼,욕설,지위/태도,명사,(욕으로) 행실이 바르지 못하고 못마땅한 사람,이러언 씹새끼가 이싼. 일어나 상놈새끼.,
상다구,속어,일반부위,명사,(속되게) 얼굴,아줌마 빵을 구워서 뜨끈뜨끈한 걸루 그 애들 상다구를 비벼 보슈.,
상바닥,속어,일반부위,명사,(낮추어) 얼굴,부끄러운 일을 저지르고도 붉힐 줄을 모르는 그 뻔뻔한 상바닥은 다 무엇이오?,
상분지도,비어,언행/태도,명사,(낮잡아) 부끄러움을 생각하지 않고 아첨하는 사람,얼마 전 세월과는 달리 상분지도들이 궁중을 어지럽히는 일도 없는 성싶고….,
상통,속어,일반부위,명사,(속되게) 얼굴,머리빡에 피도 안 마른 녀석이 상통 하나 밴밴하다고 뭣이 어쩌고 어째?,
상투배기,비어,지위,명사,=상투쟁이,"얼간한 상투배기가 계집의 손목을 탁 잡아 앞으로 끌어댕기며, ""권주가 좀 해.""",
상투잡이,비어,지위,명사,=상투쟁이,그곳에는 어느 틈엔가 그 우둔하게 생긴 상투잡이가 모른 체하고 앉아 있었다,
상투쟁이,비어,지위,명사,(홀하게) 상투를 튼 사람,뽐을 내고 멋없이 점잖을 피우는 중늙은이 상투쟁이,
상퉁머리,속어,일반부위,명사,(속되게) 얼굴,험악한 상퉁머리를 디밀고 있는 감성과 기 노인에게 단말마의 비명소리가 들려온 것은,
상판,속어,일반부위,명사,(속되게) 얼굴,상판 생긴 것하고 그래도 무엇을 달았다고 계집 맛은 알아서,
상판때기,속어,일반부위,명사,(비속하게) 얼굴,그것두 외양이나 잘났음 몰라두 구 상판때기를 뭘 보구? 에! 추해!,
새깽이,맥락,,명사,=새끼,염벙헐 놈의 새깽이 지까징 것이 속이면 누가 속아넘어갈 줄 알고,
새끼,맥락,,명사,(욕으로) 못마땅한 사람 / (낮추어) 자식,똑바로 잡아 개새끼야. 끗발부리는 거냐? 어쭈 이  새끼가!,
새끼다리,속어,성적부위,명사,(속되게) 남자의 성기,,
새대가리,맥락,,명사,(욕으로) 우둔한 사람 / (속되게) 아주 조금,네 따위가 무슨 작품을 한다고…… 멍청이 새대가리!,
새보,비어,장애,명사,(속되게) 애꾸눈,니 주제에 곰보믄 어떻고 새보믄 어떻노?,
새씹,욕설,구체물,명사,"새의 씹'이라는 뜻으로, '변변치 못한 것'을 욕으로 이르는 말 / ('~고 새씹이고' 꼴로 쓰여) 선행하는 대상을 욕으로 이르는 말","모처럼 짝숭이에 풀칠 좀 할려구 세워 들구 왔더니 새씹 같은 년이 뿌리를 뽑아, 야 이거 환장하겠네.",
새알꼽재기,비어,구체물/태도,명사,(낮잡아) 새알처럼 작고 하찮은 것 / (낮잡아) 옹졸한 사람,그런데 새알꼽재기 같던 쌈짓돈이 바닥이 나면 어 쩐다,
새우자지,속어,성적부위,명사,(놀리어) 매우 작은 구부러진 성기,타이놈 자지는 새우자지' 따위의 낙서들이 갈겨져 있었다,
새퉁이,비어,언행,명사,(홀하게) 야살스럽고 경망한 짓을 하는 사람,할낏 흘기자 새퉁이가 슬며시 꼬리를 내렸다. ,
색골,비어,이성교제,명사,(낮잡아) 여자를 탐하는 사람,배역도 창녀였지만 실제 연숙이는 남자만 보면 지분거리는 색골이었다.,
색시날뤼,비어,이성교제,명사,(얕잡아) 색시를 밝히며 좇는 사람,민우도 얌전한 체하면서도 옛날에는 헐치않은 색시날뤼다.,
샌님,비어,태도,명사,(얕잡아) 얌전하고 고루한 사람,술만 취하지 않으면 샌님 중에도 그런 골샌님이 없을 지경인데…,
샘바리,비어,태도,명사,(홀하게) 샘이 많은 사람,이창하 선수 하루 4시간 강훈. 숙제도 한 번 안 거르는 샘바리,
생것장수,비어,직업,명사,(낮잡아) 생선 장수,한물간 갈치 따위가 담긴 양은 자배기를 앞에 놓고 전신으로 비린내를 풍기는 생것장수 여편네의 입에서…,
생급살맞다,속어,행동,동사,(욕으로) 큰 곤욕을 치르다,신었다 벗었다 생급살맞는다,
생눈깔뽑다,속어,행동,동사,(욕으로) 생사람을 잡다,더 이상 어떻게 솔직하구. 생눈깔뽑지 마슈,
생마새끼,욕설,언행/태도,명사,(욕으로) 버릇없고 배운 것 없는 사람,좆 생마새끼 그냥 심장마비로 뒈졌음 좋겠다,
생파리,비어,태도,명사,(놀리어) 남이 가까이할 수 없을 만큼 성미가 뾰롱뾰롱한 사람,그놈의 계집애 돈 떨어지니까 생파리같이 쏘기만 하겠지.,
샹,욕설,감탄,감탄사,못마땅할 때 욕으로 하는 말,"샹? 뭐여 샹? 샹이라니, 눈깔을 부라리면 니가 어쩔 테여",
샹간나,욕설,출신,명사,(욕으로) 평안도 사람,"강원도를 밥통, 함경도를 뻘개, 평안도를 샹간나, 경상도를 문둥이-",
샹녀러,욕설,지위/태도,관형사,상녀러'의 큰말,저 샹녀러 새퀴 나한테 걸렷음 양손목아지 부질러 놓는건데.,
샹년,욕설,지위/태도,명사,상년'의 큰말,샹년! 죽어라! 물에래두 빠데 죽얼!,
샹놈,욕설,지위/태도,명사,상놈'의 큰말,이런 샹놈의 새끼가! 감히 어른한테... 퉷! ,
서록,맥락,,명사,(놀리어) 책 내용을 알지 못하고 많이 읽기만 하는 사람,,
서방,맥락,,명사,(낮추어) 남편 ,그러나 그래도 싹수가 노오란 알 건달 서방한테 쥐어밟히면서 죽느니만 못한 삶을 견디느니,
서울깍쟁이,비어,출신,명사,서울 사람의 까다롭고 인색한 모양을 속되게 이르는 말,"그러나 서울깍쟁이는 누가 부자이고 누가 겉만 번지르르한 무뢰배인지, 누가 후한 사람이 고 누가 모진 사람인지를 눈치 하나로 재빨리 알아채 야 했다. ",
서울뜨기,비어,출신,명사,(얕잡아) 서울 사람,"이 서울뜨기가 박꽃처럼 소탈한 금례한테 혹한 것은 되레 자연스러운 일이 라 할 수 있었지마는, 서울뜨기는 어디까지든지 서울 뜨기가 아닌가 한 것이 었다.",
서절구루,비어,언행/직업,명사,쥐나 개처럼 가만히 물건을 훔친다'는 뜻으로 '좀도둑'을 욕으로 이르는 말,,
석수장이,비어,직업,명사,(홀하게) 석수,서라벌 한다 하는 집 딸로 부여 놈 석수장이 따위에게 미쳐 다니다니 치가 떨릴 노릇이 아니냐.,
선생질,비어,행동,명사,(낮잡아) 교육자,"하지만 이 친구야, 사범대학 나온다고 다 선생질인가?",
섬놈,비어,출신,명사,(낮잡아) 섬사람,"저 새끼가 뒈질려고 환장을 해도 여러 벌로 했네. 뭣이, 섬놈의 새끼들?",
섭살이,비어,언행,명사,(홀하게) 남에게 빌붙어 사는 사람,마침내 옆차기에 찬 짚세기처럼 제 발로 못 살고 노상 붙어 돌아가면 섭살이라,
성깔머리,비어,추상물,명사,(낮추어) 성깔,니놈 성깔머리에 신씨 집안 농사 부치고 살다가는 지레 맞어 죽을 꺼여,
성정머리,비어,추상물,명사,(속되게) 성정,그런 그녀의 성정머리를 아는지라 이쪽 사람이 지레 거기 걸려들지 않으려고 뒷걸음치거나 일부러 도외시하다가도…,
성질머리,비어,추상물,명사,(낮추어) 성질,나는 성질머리가 더러워서 누구 소개를 받는다거나 무슨 펨프 밑에 묶여 있는 건 딱 질색이었다,
소갈딱지,비어,추상물,명사,'=소갈머리,,
소갈머리,비어,추상물,명사,(낮추어) 마음이나 속에 가진 생각. '=소갈딱지.소갈때꺼머리.소갈찌,"점순의 얼굴을 한참을 보고 아무 소리 없이 앉았으니, 소갈머리 없는 점순의 마음에는 춘천집을 감추어 두고 있다가, 저를 보고 당황하여 그리하는 줄로만 알고~. (이인성: 귀의성, 1906)",
소갈찌,비어,추상물,명사,'=소갈머리,"그러나 괜히 함부로 잡도리를 했다가는, 단박 소갈찌가 나서 뽀르르 달아나 버리고는 다시는 안 올 테니, 그렇게 되고 보면 여섯 번 만에 겨우 반 성공을 한 것이 도로아미타불이 될 게 아니겠다구요. (채만식: 태평천하, 1938)",빈도확인
소금장수,맥락,,명사,(속되게) 구두쇠,,
소금쟁이,맥락,,명사,(홀하게) 소금 장수,"""나 봐, 나 봐, 이년아…... 이 소금 (굼)쟁이년……."" ""그렇게 잡어 흔들어두 죽은 송장이더니……."" 역말댁은 대들보와 석유 궤짝이 맞닿은 그 밑에 있었기에 탁보보다 더 여유가 있었다. 탁보는 우선 마누라가 살아 있는 게 반갑다. (이문구: 김탁보전, 1968)",
소리쟁이,비어,직업,명사,(홀하게) 노래 부르는 것이 직업인 사람,"환쟁이 정욱과 소리쟁이 남기주, 그리고 글쟁이 양이- 이렇게 셋이서 자칭 '쟁이 삼총사'로 행세한 때가 있었다. (이동하: 춘화도를 위하여, 1988)",
소백장,욕설,직업,명사,못마땅한 사람을 소를 잡는 사람에 빗대어 욕으로 하는 말,"유천만아 이 웬수야, 너는 잘 간다- 내 딸만 달달 볶어 먹구 너는 잘 간다- 이 백 년 천 년 못 썩을 놈아, 이렇게 갈라면 진작이나 가지- 이 개 백장, 소백장, 지집백장늠아, 너는 훨훨 잘 간다- 에이 시연허다 시연허여. 시연허게두 잘 간다- (이문구: 관산추정, 1976)",
소설쟁이,비어,직업,명사,(홀하게) 소설가,"""죽으면서 뭐라고 안 그러데? 어매니잇라든가 대한민국 만세라든가…."" 옆엣 아이가 자못 심각하게 물었다. ""야 임마, 그런 건 소설쟁이들이 꾸민 이야기여. 극한 상황에서 그런 소리가 쉽게 나와?"" (최일남: 골방, 1981)",
소수,맥락,,명사,남'을 깔보아 이르는 말,,빈도확인
속물,비어,태도,명사,(낮잡아) 세속적인 것을 탐내는 사람,,
손금쟁이,비어,언행,명사,(홀하게) 노름하는 사람,,빈도확인
손딱지,속어,일반부위,명사,(낮잡아) 손,"불붙는 동리와 무지하게 크고 우악스런 노서아 병정의 새파란 눈깔과 담뱃대 진을 빨아먹고 피 뻘건 돼지다리를 쳐죽이던 그 무서운 일과 송충이보다 더 징그럽던 그 털부숭이 손딱지가 다시금 무섭게 기억이 되었다. (한설야: 탑, 1942)",
손떠귀,속어,일반부위,명사,(속되게) 손 '= 손떠꾸.,"깍정이 한 놈이 불문곡직하고 싸개통으로 기어드는 늙은이의 며느리를 껴안았다. 연적 같은 쇠용통에다 손떠귀를 밀어넣으면서 한다는 수작이, ""아년 잘되었다. 사내들 오지랖으로 무작정 기어드는 꼴이 음분을 참다못한 통지기년이 분명하렷다."" (김주영: 객주4, 1981)",
손떠꾸,속어,일반부위,명사,'=손떠귀,"""길가란 놈 말여? 아니 저 육시랄 놈이 솔모루 객점엔 웬일인가?"" ""그걸 난들 어찌 알겠는가. 어디 있는지 몰라 한시름되더니 잘 만났네. 자네 손떠꾸가 근질근질하거든 저놈 제독을 줄 겸 한번 가서 민주를 대 보게나."" (김주영: 객주5, 1982)",
손모가지,속어,일반부위,명사,(낮추어) 손 '= 손목재기. 손목쟁이.,"""보기만 했더면 손모가지를 도끼로 찍어 버려 줄걸…….""아버지는 이렇게 중얼거리면서 방천을 넘어갔다. (이복명: 댑싸리, 1937)",
손목재기,속어,일반부위,명사,'=손모가지,"언제인가 한번은, ""응팔이, 새 좀 뽑아 디리우."" 하고 삼월이가 이를 때, ""구 구 구무 여우 같은 년, 년 넌 손 손목재기가 부러졌네? 쌍 쌍년 같으니!"" 하고 응팔은 저도 모르게 욕을 쏘아붙였다. (계용묵: 마부, 1939)",
손목쟁이,속어,일반부위,명사,'=손모가지,"글쎄, 이 사람들아, 남의 금 같은 돈을 받아 먹고 글쎄, 모를 낸다는 게 이따위야. 지금 이 나리 말씀 들었지. 저게 무에람. 들락날락, 아 저게 손목쟁이로 모를 낸 게야. (이광수: 흙, 1932)",
손방,비어,지력,명사,(얕잡아) 아무것도 모르거나 잘하지 못하는 사람,"상장군은 육 년을 기다린 분이 아닌가. 난 성미가 다급해서 참는 데는 손방이야. (김주영: 화척, 1991)",빈도확인
손태기,속어,일반부위,명사,(낮추어) 손,,
